2023_12_29,20231229BT 212,DEP,BT 212,08:35 Uhr,departed,09:00 Uhr,RIX,BT,Riga,Air Baltic,---,Fri
2023_12_29,20231229AY 1432,DEP,AY 1432,08:45 Uhr,departed,09:10 Uhr,HEL,AY,Helsinki,Finnair,---,Fri
2023_12_29,20231229LG 9472,DEP,LG 9472,08:55 Uhr,departed,on time,LUX,LG,Luxemburg,Luxair,---,Fri
2023_12_29,20231229EJU4874,DEP,EJU4874,09:00 Uhr,departed,on time,ORY,EJU,Paris Orly,easyJet Europe,---,Fri
2023_12_29,20231229LH 1929,DEP,LH 1929,09:00 Uhr,departed,on time,MUC,LH,München,Lufthansa,---,Fri
2023_12_29,20231229QR 080,DEP,QR 080,09:00 Uhr,departed,on time,DOH,QR,Doha,Qatar Airways,---,Fri
2023_12_29,20231229W4 6612,DEP,W4 6612,09:05 Uhr,departed,09:20 Uhr,TIA,W4,Tirana,Wizz Air Malta,---,Fri
2023_12_29,20231229XQ 1767,DEP,XQ 1767,09:05 Uhr,departed,on time,GZT,XQ,Gaziantep,Sun Express,---,Fri
2023_12_29,20231229OS 224,DEP,OS 224,09:10 Uhr,departed,on time,VIE,OS,Wien,Austrian Airlines,---,Fri
2023_12_29,20231229EJU5145,DEP,EJU5145,09:30 Uhr,departed,09:40 Uhr,NCE,EJU,Nizza,easyJet Europe,---,Fri
2023_12_29,20231229FR 144,DEP,FR 144,09:35 Uhr,departed,on time,STN,FR,London STN,Ryanair,---,Fri
2023_12_29,20231229LX 975,DEP,LX 975,09:35 Uhr,departed,on time,ZRH,LX,Zürich,Swiss,---,Fri
2023_12_29,20231229LY 2372,DEP,LY 2372,09:35 Uhr,departed,on time,TLV,LY,Tel Aviv,EL AL - Israel Airlines,---,Fri
2023_12_29,20231229LH 181,DEP,LH 181,09:40 Uhr,departed,on time,FRA,LH,Frankfurt,Lufthansa,---,Fri
2023_12_29,20231229DY 1103,DEP,DY 1103,09:45 Uhr,departed,10:15 Uhr,OSL,DY,Oslo,Norwegian Air Shuttle AOC,---,Fri
2023_12_29,20231229UA 963,DEP,UA 963,09:55 Uhr,departed,on time,EWR,UA,New York EWR,United Airlines,---,Fri
2023_12_29,20231229EJU5333,DEP,EJU5333,10:00 Uhr,departed,10:10 Uhr,FNC,EJU,Funchal,easyJet Europe,---,Fri
2023_12_29,20231229EZY8622,DEP,EZY8622,10:05 Uhr,departed,10:55 Uhr,LGW,U2,London LGW,easyJet UK,---,Fri
2023_12_29,20231229KL 1822,DEP,KL 1822,10:10 Uhr,departed,on time,AMS,KL,Amsterdam,KLM Royal Dutch Airlines,---,Fri
2023_12_29,20231229AF 1435,DEP,AF 1435,10:15 Uhr,departed,on time,CDG,AF,Paris CDG,Air France,---,Fri
