2024_02_01,20240201KL 1818,DEP,KL 1818,06:00 Uhr,cancelled, --:-- Uhr,AMS,KL,Amsterdam,KLM Royal Dutch Airlines,---,Thu
2024_02_01,20240201LH 1957,DEP,LH 1957,06:15 Uhr,cancelled, --:-- Uhr,MUC,LH,München,Lufthansa,---,Thu
2024_02_01,20240201BA 981,DEP,BA 981,06:25 Uhr,cancelled, --:-- Uhr,LHR,BA,London LHR,British Airways,---,Thu
2024_02_01,20240201TK 1728,DEP,TK 1728,06:40 Uhr,cancelled, --:-- Uhr,IST,TK,Istanbul Airport,Turkish Airlines,---,Thu
2024_02_01,20240201EJU5077,DEP,EJU5077,06:45 Uhr,cancelled, --:-- Uhr,CTA,EJU,Catania,easyJet Europe,---,Thu
2024_02_01,20240201AF 1135,DEP,AF 1135,06:55 Uhr,cancelled, --:-- Uhr,CDG,AF,Paris CDG,Air France,---,Thu
2024_02_01,20240201BA 8490,DEP,BA 8490,06:55 Uhr,cancelled, --:-- Uhr,LCY,BA,London City Airport,British Airways,---,Thu
2024_02_01,20240201EW 8058,DEP,EW 8058,07:00 Uhr,cancelled, --:-- Uhr,CGN,EW,Köln/Bonn,Eurowings,---,Thu
2024_02_01,20240201I2 3673,DEP,I2 3673,07:00 Uhr,cancelled, --:-- Uhr,MAD,IBS,Madrid,IBERIA Express,---,Thu
2024_02_01,20240201LX 963,DEP,LX 963,07:00 Uhr,cancelled, --:-- Uhr,ZRH,LX,Zürich,Swiss,---,Thu
2024_02_01,20240201OS 240,DEP,OS 240,07:00 Uhr,cancelled, --:-- Uhr,VIE,OS,Wien,Austrian Airlines,---,Thu
2024_02_01,20240201EW 6893,DEP,EW 6893,07:05 Uhr,cancelled, --:-- Uhr,PMI,EW,Palma de Mallorca,Eurowings,---,Thu
2024_02_01,20240201SN 2592,DEP,SN 2592,07:10 Uhr,cancelled, --:-- Uhr,BRU,SN,Brüssel,Brussels Airlines,---,Thu
2024_02_01,20240201EJU5101,DEP,EJU5101,07:15 Uhr,cancelled, --:-- Uhr,FUE,EJU,Fuerteventura,easyJet Europe,---,Thu
